O;Bằng cấp;Kinh nghiệm;Tiếng Anh;Lời giới thiệu;Tuyển dụng
O1;MCE;Ít;Không;Tốt;Từ chối
O2;MCE;Nhiều;Biết;Bình thường;Chấp nhận
O3;MSC;Nhiều;Biết;Tốt;Từ chối
O4;MSC;Trung bình;Biết;Xuất sắc;Từ chối
O5;MCE;Nhiều;Biết;Bình thường;Từ chối
O6;MBA;Nhiều;Không;Bình thường;Từ chối
O7;MCE;Nhiều;Biết;Tốt;Từ chối
O8;MBA;Trung bình;Không;Tốt;Từ chối
O9;MCE;Trung bình;Không;Bình thường;Chấp nhận
O10;MBA;Nhiều;Biết;Xuất sắc;Từ chối
O11;MSC;Trung bình;Biết;Bình thường;Chấp nhận
O12;MSC;Nhiều;Không;Xuất sắc;Chấp nhận
O13;MSC;Ít;Không;Xuất sắc;Từ chối
O14;MSC;Trung bình;Biết;Bình thường;Từ chối
O15;MBA;Trung bình;Biết;Bình thường;Chấp nhận
O16;MSC;Trung bình;Biết;Tốt;Từ chối
O17;MBA;Nhiều;Biết;Tốt;Chấp nhận
O18;MBA;Ít;Không;Tốt;Từ chối
O19;MBA;Trung bình;Không;Bình thường;Chấp nhận
O20;MCE;Trung bình;Biết;Xuất sắc;Từ chối
O21;MBA;Trung bình;Biết;Xuất sắc;Chấp nhận
O22;MCE;Nhiều;Không;Tốt;Từ chối
O23;MBA;Ít;Biết;Xuất sắc;Chấp nhận
O24;MBA;Trung bình;Không;Tốt;Chấp nhận
O25;MSC;Trung bình;Không;Xuất sắc;Từ chối
O26;MCE;Ít;Biết;Tốt;Từ chối
O27;MSC;Ít;Biết;Xuất sắc;Từ chối
O28;MBA;Nhiều;Không;Xuất sắc;Chấp nhận
O29;MCE;Nhiều;Không;Bình thường;Từ chối
O30;MSC;Nhiều;Biết;Bình thường;Chấp nhận
O31;MSC;Nhiều;Không;Tốt;Chấp nhận
O32;MCE;Nhiều;Không;Xuất sắc;Từ chối
